STORE_ID,STORE_NAME,ADDRESS_CITY_NAME,ADDRESS_STATE_PROV_CODE,MSA_CODE,SEG_VALUE_NAME,PARKING_SPACE_QTY,SALES_AREA_SIZE_NUM,AVG_WEEKLY_ORDERS
367,STOREY KENWORTHY OFFICE SUPPLIES,COVINGTON,KY,17140,VALUE,196,24721,1155
389,WALMART STORES INC,ERLANGER,KY,17140,MAINSTREAM,408,46073,2252
613,H&B STOREFRONT AND MIRROR INC,ALLEN,TX,19100,MAINSTREAM,464,64926,2671
623,RED WING SHOE STORE,HOUSTON,TX,26420,MAINSTREAM,,46930,3340
2277,FRED SMITH STORE FIXTURES INC,CINCINNATI,OH,17140,UPSCALE,,81958,4914
2279,JANAY HOEHN-FRED SMITH STORE FIXTURES INC-27231,MILFORD,OH,17140,MAINSTREAM,771,44175,2094
2281,CATAWBA SHOE STORE,BLUE ASH,OH,17140,UPSCALE,,68500,2936
2495,STOREHOUSE INC,CLUTE,TX,26420,MAINSTREAM,407,48462,2319
2505,FINANCIAL STORE FRONT ROTA,DICKINSON,TX,26420,MAINSTREAM,319,41644,1315
2513,CYMAX STORES,HOUSTON,TX,26420,UPSCALE,,61833,2948
2523,BAY DESIGN STORE,GRAND PRAIRIE,TX,19100,VALUE,252,34373,1291
2541,COUNTRY STORE INTERIORS DWA INC TGE,ARLINGTON,TX,19100,MAINSTREAM,300,29231,1002
4245,"OUTLET STORE, THE",LAWRENCEBURG,IN,17140,MAINSTREAM,,58563,1752
4259,SUPERVALU STORES,CINCINNATI,OH,17140,VALUE,,48813,2834
4489,OLD DOMINION UNIVERSITY BOOKSTORE,SUGAR LAND,TX,26420,UPSCALE,,49030,1940
4503,ROCKWALL,ROCKWALL,TX,19100,MAINSTREAM,,56230,2299
4521,PARKWAY SQUARE S/C,COLLEGE STATION,TX,17780,MAINSTREAM,418,34628,2330
6179,DEERFIELD TWP,MASON,OH,17140,UPSCALE,,54448,3208
6187,ST. MARYS,SAINT MARYS,OH,47540,MAINSTREAM,,55474,1820
6379,KINGWOOD,KINGWOOD,TX,26420,MAINSTREAM,,50237,1875
6431,AT WARD ROAD,BAYTOWN,TX,26420,VALUE,350,43698,2211
8035,OVER-THE-RHINE,CINCINNATI,OH,17140,VALUE,17,10788,949
8041,LANDEN,MAINEVILLE,OH,17140,MAINSTREAM,1200,49074,1350
8263,THE WOODLANDS,THE WOODLANDS,TX,26420,UPSCALE,,51055,1716
9825,DENT,CINCINNATI,OH,17140,MAINSTREAM,,54124,2720
10019,AT EASTEX FRWY,HOUSTON,TX,26420,VALUE,221,35675,1733
11757,INDEPENDENCE,INDEPENDENCE,KY,17140,MAINSTREAM,,32943,1537
11761,MIAMI TOWNSHIP,LOVELAND,OH,17140,UPSCALE,,53905,2123
11967,NORTHBOROUGH SQ,HOUSTON,TX,26420,VALUE,294,25072,1447
11993,DALLAS,DALLAS,TX,19100,UPSCALE,,57741,2373
12011,SHERMAN,SHERMAN,TX,43300,MAINSTREAM,,41325,2105
13609,VANDALIA,VANDALIA,OH,19380,MAINSTREAM,,55663,1930
13827,BEAUMONT,BEAUMONT,TX,13140,MAINSTREAM,,50766,2364
13837,MAGNOLIA,MAGNOLIA,TX,26420,MAINSTREAM,,49164,2478
13853,RICHARDSON,RICHARDSON,TX,19100,MAINSTREAM,,53586,1435
13859,MCKINNEY,MCKINNEY,TX,19100,MAINSTREAM,,47824,1395
15531,GOSHEN,GOSHEN,OH,17140,VALUE,,33667,1213
15541,LOVELAND,LOVELAND,OH,17140,MAINSTREAM,326,38858,1697
15547,WOODLAWN,CINCINNATI,OH,17140,MAINSTREAM,,48132,2487
15755,KROGER JUNCTION S/C,PASADENA,TX,26420,VALUE,351,34373,1663
15763,WOODLANDS,WOODLANDS,TX,26420,UPSCALE,,47530,1107
15765,CYPRESS TOWN CENTER,HOUSTON,TX,26420,MAINSTREAM,,49068,2305
17599,KEARNEY,MESQUITE,TX,19100,VALUE,300,36994,1376
17615,SUGARLAND,SUGAR LAND,TX,26420,MAINSTREAM,,48632,2954
17627,FLOWER MOUND,FLOWER MOUND,TX,19100,MAINSTREAM,513,59213,1654
19265,LATONIA,COVINGTON,KY,17140,MAINSTREAM,,55685,2871
19521,SOUTHLAKE,SOUTHLAKE,TX,19100,UPSCALE,,47757,1277
19523,DUNCANVILLE,DUNCANVILLE,TX,19100,VALUE,400,48594,2233
19533,DENTON,DENTON,TX,19100,MAINSTREAM,,48330,2568
21213,MT. CARMEL,CINCINNATI,OH,17140,MAINSTREAM,,46630,1319
21221,Costco,MIDDLETOWN,OH,17140,VALUE,,48128,1546
21227,LIBERTY TWP,MIDDLETOWN,OH,17140,UPSCALE,,85710,3170
21237,LEBANON,LEBANON,OH,17140,MAINSTREAM,,86517,3497
21479,WOOD FOREST S/C,HOUSTON,TX,26420,VALUE,,49104,2676
21485,Samsclub,KATY,TX,26420,MAINSTREAM,,46369,2407
23055,WALNUT HILLS/PEEBLES,CINCINNATI,OH,17140,VALUE,239,22920,1182
23061,LIBERTY TWP.,HAMILTON,OH,17140,MAINSTREAM,,42437,1508
23067,WHIPP & BIGGER,KETTERING,OH,19380,MAINSTREAM,230,37319,1323
23075,TYLERSVILLE,WEST CHESTER,OH,17140,MAINSTREAM,564,51105,1713
23327,OFFICE FURNITURE STORE,HOUSTON,TX,26420,MAINSTREAM,,50722,2751
23345,DEBBIE BELLON-STOREY KENWORTHY OFFICE SUPPLIES-53606,FRISCO,TX,19100,UPSCALE,,46369,1995
23349,GARLAND,GARLAND,TX,19100,VALUE,,46212,2529
24991,PL FURNITURE RESTORERS LLC,CINCINNATI,OH,17140,UPSCALE,1859,77730,4602
25001,PINEWOOD,DAYTON,OH,19380,VALUE,351,34177,1640
25021,PEDRO LAZO-PL FURNITURE RESTORERS LLC-70589,HAMILTON,OH,17140,VALUE,1441,62961,3108
25027,Kathleen MATT PARROTT & SONS CO-ASI-STOREY KENWORTHY OFFICE SUPPLIES-73946,CINCINNATI,OH,17140,MAINSTREAM,,62656,3990
25229,Wayfair,CYPRESS,TX,26420,MAINSTREAM,,59241,3180
25233,ANTOINE TOWN CENTER,HOUSTON,TX,26420,VALUE,,46369,3253
25253,BI BY Staples,MCKINNEY,TX,19100,MAINSTREAM,,33931,1085
25261,Staples,CROWLEY,TX,19100,MAINSTREAM,,46368,2381
26973,Amazon,MAINEVILLE,OH,17140,MAINSTREAM,,48128,2567
26981,FRED SMITH STORE FIXTURES INC,SPRINGFIELD,OH,44220,MAINSTREAM,,42081,2284
26983,KOHLS STORES,DAYTON,OH,19380,VALUE,,48782,2860
27175,Ashley Furnitures,KATY,TX,26420,UPSCALE,,50224,2264
28909,RED WING SHOE STORE,MIDDLETOWN,OH,17140,MAINSTREAM,,85876,2635
29159,RICHARD PASTORE,CARROLLTON,TX,19100,MAINSTREAM,,54927,2356
